Ind	Tipo_Diente	MD	BL	MDCu	BLCu	Sexo	Edad
2	CI	5.8	7.11	4.49	6.96	F	17
3	CI	6.1	7.25	4.95	6.89	F	14
7	CI	6.14	7.81	5.34	7.88	M	16
9	CI	6.97	7.92	5.53	7.93	M	17
20	CI	7.22	8	5.7	7.65	F	35
22	CI	6.5	7.86	5.56	7.65	M	24
25	CI	6.67	7.35	4.86	6.98	F	19
28	CI	6.47	8.05	5.6	8.04	M	12
32	CI	7.2	7.09	5.31	7	M	16
44	CI	6.55	7.83	5.28	7.7	F	26
54	CI	6.65	7.54	5.29	7.36	M	31
55	CI	6.16	7.12	4.79	6.95	F	26
59	CI	6.4	6.99	4.74	6.9	M	18
63	CI	7.12	7.97	5.39	7.85	M	15
67	CI	7.32	8.1	5.45	8.18	M	24
72	CI	6.32	7.95	5.2	NA	F	47
81	CI	6.33	6.96	4.9	6.92	F	52
82	CI	7.04	8.06	5.63	8.01	M	39
86	CI	6.16	6.66	5.09	6.5	F	25
87	CI	6.79	7.4	5.74	7.21	M	42
88	CI	6.33	6.99	4.79	7.05	M	24
92	CI	6.38	6.81	5.31	6.67	M	33
93	CI	6.52	6.87	4.74	6.79	F	25
99	CI	6.52	7.8	5.35	7.85	F	18
108	CI	6.53	7.78	5.18	7.49	F	28
109	CI	6.69	7.86	5.82	7.63	M	17
110	CI	7	7.65	5.53	7.45	M	27
113	CI	6.2	8.75	5.4	8.68	M	25
114	CI	6.4	7.3	5.14	7.28	F	18
118	CI	6.99	7.47	5.7	7.28	M	21
120	CI	6	7.02	4.67	6.7	F	20
122	CI	5.65	7.12	5.12	6.89	F	20
126	CI	6.33	7.55	5	7.45	F	40
142	CI	6.22	7.89	5.4	6.98	F	17
163	CI	6.02	7.01	4.45	6.77	F	24
167	CI	6.12	6.67	4.59	6.66	F	18
168	CI	7.29	7.75	5.95	7.72	M	19
179	CI	7.12	7.77	5.51	7.68	M	56
180	CI	7.39	8.58	5.87	8.51	M	30
181	CI	6.54	7.61	4.77	7.05	F	19
190	CI	7.06	8.15	5.88	7.99	M	57
199	CI	6.02	6.89	5.3	6.62	F	32
