Ind	Tipo_Diente	MD	BL	MDCu	BLCu	Sexo	Edad
2	CS	6.47	7.23	4.81	7.05	F	17
3	CS	7.1	8.45	5.54	7.36	F	14
7	CS	7.05	8.36	5.24	8.17	M	16
9	CS	8.04	8.58	5.74	8.61	M	17
20	CS	7.11	7.72	4.75	7.3	F	35
22	CS	7.21	8.21	5.69	8	M	24
25	CS	8	7.81	5.78	7.8	F	19
28	CS	6.57	8.12	5.32	7.86	M	12
32	CS	6.28	6.95	4.55	6.76	M	16
44	CS	7.54	8.55	5.83	8.06	F	26
54	CS	7.43	7.67	5.32	7.35	M	31
55	CS	7.11	7.49	5.01	6.95	F	26
59	CS	7.5	7.72	5.28	7.21	M	18
63	CS	7.93	8.21	6.06	8.07	M	15
67	CS	8.19	8.64	5.67	8.1	M	24
72	CS	7.28	8.1	5.78	7.79	F	47
81	CS	7.28	7.14	4.95	7.18	F	52
82	CS	7.43	8.6	5.72	8.02	M	39
86	CS	7.26	7.42	5.48	6.79	F	25
87	CS	7.76	7.78	5.83	7.68	M	42
88	CS	7.64	6.15	5.55	7.58	M	24
92	CS	7.21	7.53	5.77	6.97	M	33
93	CS	7.67	7.55	5.41	7.24	F	25
99	CS	7.3	8.2	6.06	8.05	F	18
108	CS	7.29	8.62	5.45	7.6	F	28
109	CS	7.88	9.11	5.99	8.58	M	17
110	CS	7.44	8.3	5.6	8.06	M	27
113	CS	7.15	8.52	5.28	8.36	M	25
114	CS	7.36	7.88	5.19	7.67	F	18
118	CS	7.55	8.38	5.97	7.69	M	21
120	CS	7.03	8.32	5.41	7.18	F	20
122	CS	7.26	7.99	5.34	6.77	F	20
126	CS	7.51	8.31	5.17	7.71	F	40
142	CS	7.32	7.67	5.02	6.62	F	17
163	CS	7	7.11	4.88	6.88	F	24
167	CS	6.94	7.49	5.03	7.02	F	18
168	CS	8.32	7.79	5.98	7.89	M	19
179	CS	7.98	8.87	6.5	8.54	M	56
180	CS	8.13	9.49	6.55	8.79	M	30
181	CS	7.55	8.22	4.88	7.32	F	19
190	CS	7.93	8.96	6.79	8.58	M	57
199	CS	6.87	7.41	5.52	7.01	F	32
