Ind	Tipo_Diente	MD	BL	MDCu	BLCu	Sexo	Edad
1	1II	5.11	5.69	3.42	5.28	M	16
1	2II	5.78	6.09	3.99	5.84	M	16
1	CI	6.73	7.31	5.55	7.09	M	16
1	1PMI	6.74	7.7	4.82	6.58	M	16
1	2PMI	6.39	7.11	4.51	6.13	M	16
1	1MI	10.91	9.9	9.14	8.62	M	16
1	2MI	10.87	9.46	9.27	9.71	M	16
1	1IS	8.47	6.96	6.08	6.19	M	16
1	2IS	6.65	7.43	6.39	7.2	M	16
1	CS	7.37	8.16	5.84	7.61	M	16
1	1PMS	6.34	8.32	4.52	7.5	M	16
1	2PMS	5.91	7.7	4.26	6.64	M	16
1	1MS	9.86	11.01	8.02	10.32	M	16
1	2MS	9.95	11.18	9.04	10.34	M	16
2	1II	4.92	5.04	3.07	4.69	F	17
2	2II	5.37	5.67	3.61	5.39	F	17
2	CI	5.8	7.11	4.49	6.96	F	17
2	1PMI	6.29	7.1	4.35	6.55	F	17
2	2PMI	6.44	7.22	NA	NA	F	17
2	1MI	10.76	10.43	8.71	9.53	F	17
2	2MI	10.58	9.79	NA	NA	F	17
2	1IS	7.84	6.58	6.19	5.99	F	17
2	2IS	5.51	5.8	4.32	5.1	F	17
2	CS	6.47	7.23	4.81	7.05	F	17
2	1PMS	6.13	8.49	4.35	7.9	F	17
2	2PMS	7.12	9.67	5.78	8.82	F	17
2	1MS	10.6	10.85	8.62	10.39	F	17
2	2MS	9.51	10.74	7.63	11.19	F	17
3	1II	4.68	5.82	3.09	5.52	F	14
3	2II	5.58	6.39	3.71	6	F	14
3	CI	6.1	7.25	4.95	6.89	F	14
3	1PMI	6.57	7.64	5.03	6.78	F	14
3	2PMI	6.63	8.44	5.05	7.35	F	14
3	1MI	10.66	10.21	8.93	9.29	F	14
3	2MI	10.62	9.99	9.62	9.67	F	14
3	1IS	7.67	7.05	5.67	6.36	F	14
3	2IS	5.96	6.22	4.42	6.1	F	14
3	CS	7.1	8.45	5.54	7.36	F	14
3	1PMS	6.62	9.48	4.99	8.52	F	14
3	2PMS	7.04	9.65	5.7	8.89	F	14
3	1MS	9.63	11.03	7.32	10.8	F	14
3	2MS	9.64	11.16	8.28	10.39	F	14
4	1II	5.19	5.93	3.62	5.62	F	17
4	2II	6.05	6.3	6.01	4.51	F	17
4	CI	6.58	7.16	4.75	6.99	F	17
4	1PMI	6.66	7.27	4.92	5.01	F	17
4	2PMI	6.81	7.83	4.76	6.54	F	17
4	1MI	11.16	10.75	9.07	8.71	F	17
4	2MI	10.95	10	8.32	9.55	F	17
4	1IS	NA	NA	NA	NA	F	17
4	2IS	6.35	6.64	4.72	6.02	F	17
4	CS	7.63	7.83	5.55	7.55	F	17
4	1PMS	6.35	8.58	4.48	7.61	F	17
4	2PMS	6.25	9.19	5.1	8.51	F	17
4	1MS	10.26	10.96	8.11	10.19	F	17
4	2MS	9.24	10.95	8.25	9.92	F	17
5	1II	5.26	5.42	3.05	5	M	18
5	2II	5.81	5.94	3.09	5.65	M	18
5	CI	6.01	7	4.69	6.98	M	18
5	1PMI	6.14	7.02	4.48	6.38	M	18
5	2PMI	6.19	6.77	4.52	6.23	M	18
5	1MI	NA	NA	NA	NA	M	18
5	2MI	NA	NA	NA	NA	M	18
5	1IS	7.98	6.88	6.08	6.32	M	18
5	2IS	6.25	5.66	4.57	5.41	M	18
5	CS	6.87	7.78	4.89	7.52	M	18
5	1PMS	6.22	8.2	4.49	7.79	M	18
5	2PMS	5.71	7.39	4.48	7.36	M	18
5	1MS	9.6	10.36	7.59	10.01	M	18
5	2MS	9.2	10.19	7.35	10.2	M	18
6	1II	NA	NA	NA	NA	F	11
6	2II	NA	NA	NA	NA	F	11
6	CI	7.52	7.73	5.33	7.35	F	11
6	1PMI	6.95	8.06	5.18	7.09	F	11
6	2PMI	7.13	8.9	5.29	8.3	F	11
6	1MI	11.66	10.96	9.45	9.87	F	11
6	2MI	10.8	9.96	NA	NA	F	11
6	1IS	8.05	6.58	6.73	5.99	F	11
6	2IS	6.61	5.52	4.87	5.27	F	11
6	CS	7.5	8.03	5.75	7.25	F	11
6	1PMS	6.51	9.4	5.06	8.68	F	11
6	2PMS	6.61	8.81	6.03	8.41	F	11
6	1MS	11.66	10.11	7.8	11.26	F	11
6	2MS	NA	11.54	NA	NA	F	11
7	1II	5.1	6.07	3.48	5.81	M	16
7	2II	5.71	6.3	3.82	6.1	M	16
7	CI	6.14	7.81	5.34	7.88	M	16
7	1PMI	6.59	7.19	4.53	7.06	M	16
7	2PMI	7.18	8.46	NA	NA	M	16
7	1MI	10.83	10.07	8.46	9.42	M	16
7	2MI	10.71	9.42	9.64	9.39	M	16
7	1IS	7.81	7.18	6.21	6.9	M	16
7	2IS	6.02	6.08	4.5	6.04	M	16
7	CS	7.05	8.36	5.24	8.17	M	16
7	1PMS	6.19	8.41	4.52	7.99	M	16
7	2PMS	6.45	9.24	4.79	8.93	M	16
7	1MS	10.1	11.25	7.89	10.85	M	16
7	2MS	9.07	11.3	8.1	11.7	M	16
8	1II	5.72	5.81	3.86	5.23	F	10
8	2II	5.97	6.38	3.9	6.17	F	10
8	CI	6.38	NA	NA	NA	F	10
8	1PMI	6.14	6.76	4.7	NA	F	10
8	2PMI	NA	NA	NA	NA	F	10
8	1MI	10.81	10.41	9.7	9.99	F	10
8	2MI	NA	NA	NA	NA	F	10
8	1IS	8.55	7.16	6.02	6.41	F	10
8	2IS	6.23	5.99	5.02	5.55	F	10
8	CS	6.85	NA	NA	NA	F	10
8	1PMS	6.33	8.35	4.69	7.71	F	10
8	2PMS	6.09	8.81	4.71	7.91	F	10
8	1MS	10.18	11.15	8.12	11.12	F	10
8	2MS	NA	NA	NA	NA	F	10
9	1II	5.23	6.34	4.21	6.23	M	17
9	2II	6.11	6.95	4.03	6.56	M	17
9	CI	6.97	7.92	5.53	7.93	M	17
9	1PMI	6.95	8.06	5.18	7.09	M	17
9	2PMI	7.13	8.9	5.29	8.3	M	17
9	1MI	NA	NA	8.93	9.48	M	17
9	2MI	10.89	10.06	10.34	9.83	M	17
9	1IS	8.38	7.18	7.01	6.79	M	17
9	2IS	7.08	6.6	5.79	6.42	M	17
9	CS	8.04	8.58	5.74	8.61	M	17
9	1PMS	7.47	9.86	5.8	9.33	M	17
9	2PMS	6.97	10.07	4.72	9.68	M	17
9	1MS	10.53	11.2	8.21	10.86	M	17
9	2MS	9.67	11.6	11.54	11.49	M	17
10	1II	5.37	5.77	3.48	5.11	F	12
10	2II	5.88	6.12	3.64	5.8	F	12
10	CI	6.48	7.28	5.25	6.6	F	12
10	1PMI	6.93	7	4.58	6.6	F	12
10	2PMI	NA	7.24	5.35	6.78	F	12
10	1MI	10.5	9.87	8.56	9.14	F	12
10	2MI	10.03	9.32	9.07	NA	F	12
10	1IS	7.88	6.65	6.04	6.42	F	12
10	2IS	6.34	6.19	4.69	5.59	F	12
10	CS	7.34	8.1	5.6	7.33	F	12
10	1PMS	6.39	8.44	5	7.79	F	12
10	2PMS	6.05	8.45	5.88	7.88	F	12
10	1MS	9.6	10.45	7.33	10.32	F	12
10	2MS	8.68	9.68	7.04	9.54	F	12
11	1II	5.55	6.33	4.05	5.76	M	16
11	2II	NA	NA	NA	NA	NA	NA
11	CI	6.83	8.1	5.79	7.86	M	16
11	1PMI	7.62	8.48	5.45	7.5	M	16
11	2PMI	7.15	8.39	5.61	7.4	M	16
11	1MI	11.79	10.89	9.73	9.58	M	16
11	2MI	11.46	10.76	10.4	NA	M	16
11	1IS	9.18	7.72	7.05	6.89	M	16
11	2IS	6.63	6.95	5.18	6.68	M	16
11	CS	7.71	8.63	5.98	8.01	M	16
11	1PMS	7.14	9.68	5.15	8.42	M	16
11	2PMS	6.79	10	5.66	9.4	M	16
11	1MS	10.97	12.02	8.47	11.47	M	16
11	2MS	9.8	12.65	7.58	11.83	M	16
12	1II	5.35	5.65	3.38	5.57	M	16
12	2II	5.57	6.21	3.7	6.05	M	16
12	CI	6.72	7.95	5.67	7.84	M	16
12	1PMI	6.62	7.89	4.8	6.99	M	16
12	2PMI	6.74	8.45	5.46	7.51	M	16
12	1MI	10.54	10.4	9.07	9.45	M	16
12	2MI	11.76	10.39	11	10.1	M	16
12	1IS	NA	NA	NA	NA	M	16
12	2IS	6.39	5.78	5.1	5.56	M	16
12	CS	7.62	8.63	5.87	8.3	M	16
12	1PMS	6.74	9.1	4.93	8.46	M	16
12	2PMS	6.42	9.61	5.3	8.89	M	16
12	1MS	10.14	11.61	8.21	11	M	16
12	2MS	10.31	11.73	8.39	11.5	M	16
13	1II	5.22	5.71	4.16	5.52	F	17
13	2II	6.01	6.13	4.63	5.92	F	17
13	CI	5.76	7.52	5.5	7.06	F	17
13	1PMI	6.86	7.22	5.25	6.35	F	17
13	2PMI	7.39	8.26	5.12	7.24	F	17
13	1MI	9.88	8.92	9.12	8.67	F	17
13	2MI	NA	NA	NA	NA	F	17
13	1IS	8.84	6.7	6.78	6.18	F	17
13	2IS	7.44	6.21	5.54	5.89	F	17
13	CS	7.68	8.01	5.42	7.79	F	17
13	1PMS	6.93	8.36	5.1	7.82	F	17
13	2PMS	6.42	9.03	4.48	7.81	F	17
13	1MS	10.5	10.99	8.01	10.5	F	17
13	2MS	9.78	11.2	7.56	10.72	F	17
14	1II	5.52	6.43	4.02	5.92	M	16
14	2II	6.26	6.79	4.8	6.2	M	16
14	CI	6.7	7.52	5.79	7.77	M	16
14	1PMI	6.98	7.85	5.36	6.86	M	16
14	2PMI	6.63	8.5	5.22	7.46	M	16
14	1MI	11.29	10.43	9.68	9.29	M	16
14	2MI	10.9	10.36	9.55	10.05	M	16
14	1IS	9	7.78	6.89	6.9	M	16
14	2IS	7.08	7.09	5.48	6.55	M	16
14	CS	7.68	9.01	6.12	8.44	M	16
14	1PMS	6.69	9.51	5.67	8.66	M	16
14	2PMS	6.91	9.52	5.7	9.19	M	16
14	1MS	10.53	11.6	8.1	11.05	M	16
14	2MS	10.19	10.96	8.27	10.89	M	16
15	1II	4.64	5.97	3.42	5.79	M	45
15	2II	4.75	5.99	3.9	5.73	M	45
15	CI	6.42	7.61	5.22	7.42	M	45
15	1PMI	6.23	7.2	4.79	6.59	M	45
15	2PMI	6.76	7.56	4.97	6.81	M	45
15	1MI	10.79	10.14	8.89	9.3	M	45
15	2MI	9.86	9.45	8.64	8.93	M	45
15	1IS	7.08	6.82	5.34	6.54	M	45
15	2IS	6.25	5.99	4.28	5.76	M	45
15	CS	7.44	8.32	5.94	8.16	M	45
15	1PMS	6.71	8.59	5.14	8.35	M	45
15	2PMS	6.28	8.62	5.05	8.15	M	45
15	1MS	9.55	10.79	7.58	10.54	M	45
15	2MS	8.74	10.35	7.14	10.32	M	45
16	1II	5.45	7.53	3.54	7.01	M	18
16	2II	5.68	5.15	4.1	6.18	M	18
16	CI	7.14	9.12	5.89	8.86	M	18
16	1PMI	7.27	8.18	5.39	7.48	M	18
16	2PMI	7.25	8.7	5.27	8.3	M	18
16	1MI	12.02	10.95	9.76	10.11	M	18
16	2MI	11.97	10.74	10.93	9.94	M	18
16	1IS	8.05	6.76	7.07	6.39	M	18
16	2IS	7.88	8.05	6.17	7.09	M	18
16	CS	8.04	9.97	6.26	9.77	M	18
16	1PMS	6.99	9.82	4.79	9.18	M	18
16	2PMS	6.9	8.68	4.74	7.94	M	18
16	1MS	10.54	12.28	8.29	11.85	M	18
16	2MS	11.41	12.3	9.1	11.7	M	18
17	1II	5.17	6.33	3.59	6.25	M	19
17	2II	5.92	6.35	4.25	6.49	M	19
17	CI	6.33	8.11	5.9	8.09	M	19
17	1PMI	7.05	7.99	5.13	7.3	M	19
17	2PMI	7.65	8.32	5.71	7.06	M	19
17	1MI	11.94	10.38	9.4	9.17	M	19
17	2MI	11.96	9.98	9.89	9.7	M	19
17	1IS	8.82	7.39	6.5	6.44	M	19
17	2IS	6	6.26	4.35	5.39	M	19
17	CS	7.61	8.84	6.32	8.28	M	19
17	1PMS	6.8	9.26	4.95	8.82	M	19
17	2PMS	6.28	9.62	4.98	8.93	M	19
17	1MS	10.23	11.41	7.89	11.46	M	19
17	2MS	10.55	12.23	8.15	12.12	M	19
18	1II	4.82	5.47	3.32	6	F	33
18	2II	5.59	5.89	3.82	5.66	F	33
18	CI	6.37	6.64	4.66	6.52	F	33
18	1PMI	6.42	7.36	4.43	6.49	F	33
18	2PMI	5.81	7.36	4.29	6.72	F	33
18	1MI	10.38	10.04	8.33	8.41	F	33
18	2MI	9.36	9.14	8.03	8.81	F	33
18	1IS	8.09	6.86	5.64	5.79	F	33
18	2IS	6.81	6.21	4.55	6.08	F	33
18	CS	7.5	7.61	5.23	7.14	F	33
18	1PMS	6.28	8.5	4.12	8	F	33
18	2PMS	5.71	8.16	3.92	7.4	F	33
18	1MS	9.59	10.67	6.97	10.23	F	33
18	2MS	8.27	10.08	5.99	6.93	F	33
